유치원명,교육지원청명,특수유아수,유아수,특수유아비율,특수학급수,특수학급총합,특수교사수,특수교사당유아,학급대비특수교사수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
서울가락초등학교병설유치원,강동송파교육지원청,2,60,0.0333333,1,1,1,2.0,1.0,0,0,0.0
서울길동초등학교병설유치원,강동송파교육지원청,0,58,0.0,0,0,0,0.0,0.0,0,0,0.0
예원유치원,강동송파교육지원청,0,43,0.0,0,0,0,0.0,0.0,0,0,0.0
햇빛유치원,강동송파교육지원청,0,244,0.0,0,0,0,0.0,0.0,0,0,0.0
계상유치원,강서양천교육지원청,0,162,0.0,0,0,0,0.0,0.0,0,0,0.0
나사렛유치원,서부교육지원청,0,135,0.0,0,0,0,0.0,0.0,0,0,0.0
우리곰유치원,강서양천교육지원청,0,70,0.0,0,0,0,0.0,0.0,0,0,0.0
희산유치원,북부교육지원청,0,49,0.0,0,0,0,0.0,0.0,0,0,0.0
동선유치원,성북강북교육지원청,0,29,0.0,0,0,0,0.0,0.0,0,0,0.0
명덕유치원,성북강북교육지원청,0,11,0.0,0,0,0,0.0,0.0,0,0,0.0
녹원유치원,강동송파교육지원청,0,105,0.0,0,0,0,0.0,0.0,0,0,0.0
서울양목초등학교병설유치원,강서양천교육지원청,4,45,0.0888889,1,1,1,4.0,1.0,0,0,0.0
